item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model
58,He squished a blueberry using,inconceivable,a sight.,-18.202959537506104,-6.067653179168701,gpt2-xl
58,He squished a blueberry using,inconceivable_syntactic,hence.,-20.28455638885498,-10.14227819442749,gpt2-xl
59,He started a fire using,probable,kindling.,-12.017374992370605,-4.005791664123535,gpt2-xl
59,He started a fire using,improbable,furniture.,-10.024608135223389,-5.012304067611694,gpt2-xl
59,He started a fire using,impossible,milk.,-10.32780122756958,-5.16390061378479,gpt2-xl
59,He started a fire using,inconceivable,humor.,-14.816560745239258,-7.408280372619629,gpt2-xl
59,He started a fire using,inconceivable_syntactic,again.,-16.375905990600586,-8.187952995300293,gpt2-xl
60,He stored dishes inside,probable,a cabinet.,-9.846722602844238,-3.282240867614746,gpt2-xl
60,He stored dishes inside,improbable,an attic.,-12.772791385650635,-4.257597128550212,gpt2-xl
60,He stored dishes inside,impossible,a thimble.,-13.66049575805664,-3.41512393951416,gpt2-xl
60,He stored dishes inside,inconceivable,an equation.,-16.85516929626465,-5.61838976542155,gpt2-xl
60,He stored dishes inside,inconceivable_syntactic,quite.,-21.0308837890625,-10.51544189453125,gpt2-xl
61,He took a vacation to,probable,the beach.,-8.469130516052246,-2.8230435053507485,gpt2-xl
61,He took a vacation to,improbable,the desert.,-9.712050914764404,-3.2373503049214682,gpt2-xl
61,He took a vacation to,impossible,the sun.,-11.896775245666504,-3.9655917485555015,gpt2-xl
61,He took a vacation to,inconceivable,a verb.,-23.2367525100708,-7.745584170023601,gpt2-xl
61,He took a vacation to,inconceivable_syntactic,while.,-19.473617553710938,-9.736808776855469,gpt2-xl
62,He tightened a bolt using,probable,a wrench.,-4.793086051940918,-1.5976953506469727,gpt2-xl
62,He tightened a bolt using,improbable,chopsticks.,-13.193656921386719,-4.397885640462239,gpt2-xl
62,He tightened a bolt using,impossible,a house.,-21.118550300598145,-7.039516766866048,gpt2-xl
62,He tightened a bolt using,inconceivable,a dream.,-13.986598014831543,-4.662199338277181,gpt2-xl
62,He tightened a bolt using,inconceivable_syntactic,put.,-23.06218910217285,-11.531094551086426,gpt2-xl
63,He turned an apple into,probable,a pie.,-8.5236177444458,-2.841205914815267,gpt2-xl
63,He turned an apple into,improbable,a salad.,-8.702446937561035,-2.9008156458536782,gpt2-xl
63,He turned an apple into,impossible,a cherry.,-9.420759201049805,-3.1402530670166016,gpt2-xl
63,He turned an apple into,inconceivable,honesty.,-16.07538414001465,-8.037692070007324,gpt2-xl
63,He turned an apple into,inconceivable_syntactic,below.,-20.239348888397217,-10.119674444198608,gpt2-xl
64,He unlocked a door using,probable,a key.,-5.771039009094238,-1.9236796696980794,gpt2-xl
64,He unlocked a door using,improbable,a screwdriver.,-7.9607977867126465,-1.9901994466781616,gpt2-xl
64,He unlocked a door using,impossible,a marshmallow.,-14.252220153808594,-3.5630550384521484,gpt2-xl
64,He unlocked a door using,inconceivable,a lie.,-13.665656089782715,-4.555218696594238,gpt2-xl
64,He unlocked a door using,inconceivable_syntactic,off.,-20.038305282592773,-10.019152641296387,gpt2-xl
65,He washed his hair using,probable,shampoo.,-6.0581769943237305,-3.0290884971618652,gpt2-xl
65,He washed his hair using,improbable,detergent.,-8.792069435119629,-2.930689811706543,gpt2-xl
65,He washed his hair using,impossible,a rainbow.,-13.742390632629395,-4.580796877543132,gpt2-xl
65,He washed his hair using,inconceivable,applause.,-14.853398323059082,-7.426699161529541,gpt2-xl
65,He washed his hair using,inconceivable_syntactic,if.,-17.178287506103516,-8.589143753051758,gpt2-xl
66,He wore shoes made of,probable,leather.,-5.808542251586914,-2.904271125793457,gpt2-xl
66,He wore shoes made of,improbable,wood.,-6.28156042098999,-3.140780210494995,gpt2-xl
66,He wore shoes made of,impossible,stars.,-10.448936462402344,-5.224468231201172,gpt2-xl
66,He wore shoes made of,inconceivable,traffic.,-20.691099166870117,-10.345549583435059,gpt2-xl
66,He wore shoes made of,inconceivable_syntactic,there.,-13.463929176330566,-6.731964588165283,gpt2-xl
67,He wrapped a present using,probable,paper.,-9.057711124420166,-4.528855562210083,gpt2-xl
67,He wrapped a present using,improbable,a dress.,-13.020479202270508,-4.340159734090169,gpt2-xl
67,He wrapped a present using,impossible,ketchup.,-11.121832847595215,-3.7072776158650718,gpt2-xl
67,He wrapped a present using,inconceivable,gossip.,-16.763757705688477,-8.381878852844238,gpt2-xl
67,He wrapped a present using,inconceivable_syntactic,any.,-17.135890007019043,-8.567945003509521,gpt2-xl
68,He wrote a letter using,probable,a pen.,-9.273516654968262,-3.091172218322754,gpt2-xl
68,He wrote a letter using,improbable,a stylus.,-11.132943153381348,-2.783235788345337,gpt2-xl
68,He wrote a letter using,impossible,a snowflake.,-15.875070571899414,-3.9687676429748535,gpt2-xl
68,He wrote a letter using,inconceivable,a marathon.,-19.223904609680176,-6.407968203226726,gpt2-xl
68,He wrote a letter using,inconceivable_syntactic,among.,-23.9368896484375,-11.96844482421875,gpt2-xl
69,He wrote an equation on,probable,a chalkboard.,-6.238622665405273,-1.5596556663513184,gpt2-xl
69,He wrote an equation on,improbable,a billboard.,-12.17391586303711,-4.057971954345703,gpt2-xl
69,He wrote an equation on,impossible,an atom.,-15.546682357788086,-5.182227452596028,gpt2-xl
69,He wrote an equation on,inconceivable,a scream.,-19.654708862304688,-6.5515696207682295,gpt2-xl
69,He wrote an equation on,inconceivable_syntactic,across.,-20.497653007507324,-10.248826503753662,gpt2-xl
